CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40635366,THE LIBRARY,MANHATTAN,7,AVENUE A,10009,2123751352,"Bottled beverages, including water, sodas, juices, etc.",12/16/2011,Violations were cited in the following area(s).,08A,Not Critical,11,A,12/16/2011,4/25/2016,Cycle Inspection / Re-inspection
41531136,AUGUST WILSON THEATRE,MANHATTAN,245,WEST   52 STREET,10019,2125825472,American,11/2/2011,Violations were cited in the following area(s).,10B,Not Critical,2,A,11/2/2011,4/25/2016,Cycle Inspection / Re-inspection
41561140,COTTA,MANHATTAN,513,COLUMBUS AVENUE,10024,2128738500,Italian,11/23/2011,Violations were cited in the following area(s).,08A,Not Critical,12,A,11/23/2011,4/25/2016,Cycle Inspection / Initial Inspection
40482597,BROADWAY THEATRE,MANHATTAN,1681,BROADWAY,10019,2125867610,American,7/21/2011,Violations were cited in the following area(s).,04H,Critical,18,B,7/21/2011,4/25/2016,Cycle Inspection / Re-inspection
40635366,THE LIBRARY,MANHATTAN,7,AVENUE A,10009,2123751352,"Bottled beverages, including water, sodas, juices, etc.",12/16/2011,Violations were cited in the following area(s).,04N,Critical,11,A,12/16/2011,4/25/2016,Cycle Inspection / Re-inspection
41546465,SPICE,MANHATTAN,435,AMSTERDAM AVENUE,10024,2123625861,Thai,11/23/2011,Violations were cited in the following area(s).,08A,Not Critical,10,A,11/23/2011,4/25/2016,Cycle Inspection / Re-inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American,11/2/2011,Violations were cited in the following area(s).,02G,Critical,26,B,11/2/2011,4/25/2016,Cycle Inspection / Re-inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American,11/2/2011,Violations were cited in the following area(s).,10F,Not Critical,26,B,11/2/2011,4/25/2016,Cycle Inspection / Re-inspection
40941055,CAFE 22,MANHATTAN,2309,7 AVENUE,10030,2122818500,Soul Food,9/16/2011,Violations were cited in the following area(s).,10F,Not Critical,10,A,9/16/2011,4/25/2016,Cycle Inspection / Re-inspection
41142211,TELEPAN,MANHATTAN,7274,WEST 69 STREET,10023,2125804300,American,12/2/2011,Violations were cited in the following area(s).,06D,Critical,12,A,12/2/2011,4/25/2016,Cycle Inspection / Re-inspection
40392668,LUCYS,MANHATTAN,135,AVENUE A,10009,2126733824,American,10/4/2011,Violations were cited in the following area(s).,10F,Not Critical,2,A,10/4/2011,4/25/2016,Cycle Inspection / Re-inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American,11/2/2011,Violations were cited in the following area(s).,08C,Not Critical,26,B,11/2/2011,4/25/2016,Cycle Inspection / Re-inspection
40750338,MARIOTT MARQUIS/CROSSROADS BAR,MANHATTAN,1535,BROADWAY,10036,2123981900,American,12/27/2011,Violations were cited in the following area(s).,06E,Critical,10,A,12/27/2011,4/25/2016,Cycle Inspection / Initial Inspection
41142211,TELEPAN,MANHATTAN,7274,WEST 69 STREET,10023,2125804300,American,12/2/2011,Violations were cited in the following area(s).,02G,Critical,12,A,12/2/2011,4/25/2016,Cycle Inspection / Re-inspection
41561140,COTTA,MANHATTAN,513,COLUMBUS AVENUE,10024,2128738500,Italian,11/23/2011,Violations were cited in the following area(s).,10B,Not Critical,12,A,11/23/2011,4/25/2016,Cycle Inspection / Initial Inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American,11/2/2011,Violations were cited in the following area(s).,06C,Critical,26,B,11/2/2011,4/25/2016,Cycle Inspection / Re-inspection
41561140,COTTA,MANHATTAN,513,COLUMBUS AVENUE,10024,2128738500,Italian,11/23/2011,Violations were cited in the following area(s).,04L,Critical,12,A,11/23/2011,4/25/2016,Cycle Inspection / Initial Inspection
40482597,BROADWAY THEATRE,MANHATTAN,1681,BROADWAY,10019,2125867610,American,7/21/2011,Violations were cited in the following area(s).,08A,Not Critical,18,B,7/21/2011,4/25/2016,Cycle Inspection / Re-inspection
40941055,CAFE 22,MANHATTAN,2309,7 AVENUE,10030,2122818500,Soul Food,9/16/2011,Violations were cited in the following area(s).,04H,Critical,10,A,9/16/2011,4/25/2016,Cycle Inspection / Re-inspection
41546465,SPICE,MANHATTAN,435,AMSTERDAM AVENUE,10024,2123625861,Thai,11/23/2011,Violations were cited in the following area(s).,04N,Critical,10,A,11/23/2011,4/25/2016,Cycle Inspection / Re-inspection
40750338,MARIOTT MARQUIS/CROSSROADS BAR,MANHATTAN,1535,BROADWAY,10036,2123981900,American,12/27/2011,Violations were cited in the following area(s).,06D,Critical,10,A,12/27/2011,4/25/2016,Cycle Inspection / Initial Inspection
40482597,BROADWAY THEATRE,MANHATTAN,1681,BROADWAY,10019,2125867610,American,7/21/2011,Violations were cited in the following area(s).,04L,Critical,18,B,7/21/2011,4/25/2016,Cycle Inspection / Re-inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American,11/2/2011,Violations were cited in the following area(s).,09C,Not Critical,26,B,11/2/2011,4/25/2016,Cycle Inspection / Re-inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American,11/2/2011,Violations were cited in the following area(s).,06F,Critical,26,B,11/2/2011,4/25/2016,Cycle Inspection / Re-inspection
