"LATITUDE","LONGITUDE","name","marker"
40.6054798,-74.0274709,"Frisson Espresso","green"
40.7026586,-74.0111877,"JUICE PRESS","green"
40.7026586,-74.0111877,"FRESH  CO","green"
40.7026586,-74.0111877,"STARBUCKS","green"
40.7026586,-74.0111877,"CHICKEN/CELEBRITY CHEF DELI CONCESSION","green"
40.6092765,-74.0326299,"BAR","green"
40.7026586,-74.0111877,"BAR/BALL PARK","green"
40.7026586,-74.0111877,"CARNEGIE DELI CATESSEN","green"
40.7026586,-74.0111877,"CASA NONNA","green"
40.7026586,-74.0111877,"CHICKEN/FRIES CONCESSION","green"
40.7026586,-74.0111877,"CHICKEN/FRIES CONCESSION","green"
40.6092765,-74.0326299,"DUNKIN DONUTS/JEAN GEORGES SIMPLY CHICKEN","green"
40.6092765,-74.0326299,"EMPLOYEE FEEDING","green"
40.7026586,-74.0111877,"GARDEN MARKET","green"
40.7026586,-74.0111877,"Garden Market 35/36","green"
40.7026586,-74.0111877,"GARDEN MARKET 37/38","green"
40.7026586,-74.0111877,"GARDEN MARKET DUNKIN DONUTS","green"
40.7026586,-74.0111877,"Garden Market/Jean Georges Simply Chicken","green"
40.6092765,-74.0326299,"HAMBURGER/CELEBRITY CHEF","green"
40.6092765,-74.0326299,"HAMBURGER/CELEBRITY CHEF UNCLE JACKS","green"
40.6092765,-74.0326299,"HOT DOG CONCESSION","green"
40.7026586,-74.0111877,"HOT DOG CONCESSION","green"
40.7026586,-74.0111877,"MADISON CLUB","green"
40.7026586,-74.0111877,"PRESS ROOM","green"
40.6092765,-74.0326299,"PUB","green"
40.6092765,-74.0326299,"SAUSAGE BOSS","green"
40.6092765,-74.0326299,"SENZAI SUSHI/LOBSTER SHRIMP ROLL BY AQUA GRILL","green"
40.7557653,-73.9867599,"SUITE 200/1879","green"
40.6092765,-74.0326299,"THEATER FLY","green"
40.8056915,-73.8501963,"LITTLE LIONS","green"
40.6092765,-74.0326299,"FRESH  CO","green"
40.6092765,-74.0326299,"LENWICH","green"
40.6092765,-74.0326299,"SUBWAY","green"
40.7026586,-74.0111877,"GREGORY'S COFFEE","green"
40.6092765,-74.0326299,"CHINELOS II DELIGROCERY RESTAURANT","green"
40.7026586,-74.0111877,"MCDONALD'S","green"
40.7026586,-74.0111877,"COLONY CLUB","green"
40.7026586,-74.0111877,"STARBUCKS","green"
40.6092765,-74.0326299,"LENWICH","green"
40.6092765,-74.0326299,"MAPLE","green"
40.6092765,-74.0326299,"TERRI","green"
40.6092765,-74.0326299,"KURUMAZUSHI RESTAURANT","green"
40.6092765,-74.0326299,"SWEETGREEN","green"
40.7026586,-74.0111877,"DIG INN SEASONAL MARKET","green"
40.7026586,-74.0111877,"ROASTING PLANT","green"
40.7026586,-74.0111877,"YI ZHANG FISHBALL","green"
40.6092765,-74.0326299,"SIGIRI","green"
40.7026586,-74.0111877,"MAHARAJA PALACE","green"
40.6092765,-74.0326299,"TRIBECA TREATS","green"
40.6092765,-74.0326299,"PIG  WHISTLE","green"
